Date,Price,Open,High,Low,Vol.,Change %
12-Aug-17,222.71001,235.5,237,217,6.71K,-5.43
11-Aug-17,235.5,231.7,236,225,6.12K,1.64
10-Aug-17,231.7,242,249.3,230.89999,7.83K,-4.26
9-Aug-17,242,246,260.98999,229.96001,16.91K,-1.63
8-Aug-17,246,208.58,258.48001,208.21001,16.66K,17.94
7-Aug-17,208.58,208,212.10001,204.16,6.56K,0.28
6-Aug-17,208,204,212.95,202.89999,6.93K,1.96
5-Aug-17,204,186.41,214.3,185.17,9.83K,9.44
4-Aug-17,186.41,188.85001,190.78,184,3.38K,-1.29
3-Aug-17,188.85001,189.3,191.56,182.62,3.87K,-0.24
2-Aug-17,189.3,190.84,195.10001,183.2,6.25K,-0.81
1-Aug-17,190.84,173,195.49001,170.89,10.34K,10.31
31-Jul-17,173,173.32001,179,167.50999,4.60K,-0.18
30-Jul-17,173.32001,187,187.11,172.77,3.48K,-7.32
29-Jul-17,187,176.49001,187,165.12,5.13K,5.96
28-Jul-17,176.49001,185.39999,190.09,172.89,3.92K,-4.81
27-Jul-17,185.39999,188.89999,192.64999,182,3.14K,-1.85
26-Jul-17,188.89999,187.82001,192,175,6.85K,0.58
25-Jul-17,187.82001,212,212,176,10.31K,-11.41
24-Jul-17,212,212.19,214.49001,207.5,2.84K,-0.09
23-Jul-17,212.19,218,228,206.69,6.81K,-2.67
22-Jul-17,218,202.03999,220.39999,200.47,6.31K,7.9
21-Jul-17,202.03999,209.32001,216.89,199.22,8.93K,-3.48
20-Jul-17,209.32001,181.89999,218,181.89999,16.77K,15.07
19-Jul-17,181.89999,198.5,220,175.53,14.82K,-8.36
18-Jul-17,198.5,180.2,230.71001,168.39999,15.57K,10.16
17-Jul-17,180.2,165.45,182.17999,161.00999,9.52K,8.92
16-Jul-17,165.45,158.5,166.5,142.2,8.38K,4.38
15-Jul-17,158.5,177.8,177.8,155.10001,4.86K,-10.85
14-Jul-17,177.8,192.91,194.8,164.7,3.92K,-7.83
13-Jul-17,192.91,212,215.61,182,4.67K,-9
12-Jul-17,212,178.00999,216,165,10.50K,19.09
11-Jul-17,178.00999,197,202.08,162,13.73K,-9.64
10-Jul-17,197,239,240.16,179,9.30K,-17.57
9-Jul-17,239,254,261.88,239,2.61K,-5.91
8-Jul-17,254,249.13,254,232,4.33K,1.95
7-Jul-17,249.13,284.51999,289,246.5,6.69K,-12.44
6-Jul-17,284.51999,282.5,290.5,271,5.88K,0.72
5-Jul-17,282.5,279.95001,287,265.10001,3.60K,0.91
4-Jul-17,279.95001,288.25,299.82001,272.5,5.13K,-2.88
3-Jul-17,288.25,291.69,295,275.51001,5.07K,-1.18
2-Jul-17,291.69,274.39001,295.5,259,5.20K,6.3
1-Jul-17,274.39001,293.20001,296.31,258.29001,4.20K,-6.42
30-Jun-17,293.20001,311.5,318,286.5,6.62K,-5.87
29-Jun-17,311.5,333.57001,339.67999,299,7.16K,-6.62
28-Jun-17,333.57001,324,339.75,305.70001,7.31K,2.95
27-Jun-17,324,298,330,258.67001,15.59K,8.72
26-Jun-17,298,318,323,246.83,11.00K,-6.29
25-Jun-17,318,346.01999,349.45001,287.22,6.03K,-8.1
24-Jun-17,346.01999,375,378.92001,337.76999,2.86K,-7.73
23-Jun-17,375,381.54999,389,375,2.16K,-1.72
22-Jun-17,381.54999,380.39999,395,360,3.33K,0.3
21-Jun-17,380.39999,407.88,415.70999,345,7.18K,-6.74
20-Jun-17,407.88,397.20001,433.70001,393.95999,9.85K,2.69
19-Jun-17,397.20001,370.56,405.73999,365,3.44K,7.19
18-Jun-17,370.56,391,396,360,5.77K,-5.23
17-Jun-17,391,377.94,400.48999,350,8.03K,3.46
16-Jun-17,377.94,380,397.60001,344.84,9.95K,-0.54
15-Jun-17,380,369,408,246.59,23.15K,2.98
14-Jun-17,369,360.60001,445.20001,333.03,18.80K,2.33
13-Jun-17,360.60001,300,370,296.81,5.97K,20.2
12-Jun-17,300,326.26001,336,247,10.47K,-8.05
11-Jun-17,326.26001,316.5,336.89999,301.67999,5.19K,3.08
10-Jun-17,316.5,280.20999,321,280,5.49K,12.95
9-Jun-17,280.20999,270.60999,280.5,268.10999,3.13K,3.55
8-Jun-17,270.60999,260.42999,285.63,251.58,6.09K,3.91
7-Jun-17,260.42999,256,335.34,254,10.13K,1.73
6-Jun-17,256,240.32001,264.5,231.97,4.82K,6.52
5-Jun-17,240.32001,233.88,265.35001,230,4.89K,9.24
4-Jun-17,220,220,220,220,0,0
3-Jun-17,220,232.7,235,216.03999,3.07K,-5.46
2-Jun-17,232.7,240,247.8,230,2.41K,-3.04
1-Jun-17,240,220.38,254.89999,216,5.96K,8.9
31-May-17,220.38,226,251.75,211.5,5.24K,-2.49
30-May-17,226,196,241.58,192.7,7.78K,15.31
29-May-17,196,185,204.8,178.56,5.00K,5.95
28-May-17,185,175.7,203.89999,161.00999,7.85K,5.29
27-May-17,175.7,190,198.52,122.95,15.26K,-7.53
26-May-17,190,211,243.41,156.00999,9.03K,-9.95
25-May-17,211,231,260.5,190,9.69K,-8.66
24-May-17,231,231,280.56,228,5.69K,0
23-May-17,231,200,297,183.35001,9.48K,15.5
22-May-17,200,118.5,315,116.5,16.51K,68.78
21-May-17,118.5,105.8,122,104.57,3.41K,12
20-May-17,105.8,103.38,109.38,103.38,1.49K,2.34
19-May-17,103.38,97,108.6,96.88,4.05K,6.58
18-May-17,97,94.07,97.53,88.54,1.79K,3.11
17-May-17,94.07,91.64,95.52,87.5,1.13K,2.65
16-May-17,91.64,94.12,96,91.47,1.32K,-2.63
15-May-17,94.12,98,99.9,94,2.37K,-3.96
14-May-17,98,98.49,100,94.51,3.10K,-0.5
13-May-17,98.49,99.19,99.19,94.17,1.83K,-0.71
12-May-17,99.19,95.41,102.75,95,2.79K,3.96
11-May-17,95.41,96.78,100,94.55,3.79K,-1.42
10-May-17,96.78,96.13,103.49,92.4,2.78K,0.68
9-May-17,96.13,105.19,106.99,90,7.73K,-8.61
8-May-17,105.19,105.11,116.1,103.5,4.90K,0.08
7-May-17,105.11,110.44,111.21,101.5,3.68K,-4.83
6-May-17,110.44,102.64,113,101.57,4.16K,7.6
5-May-17,102.64,103.66,116.23,97.1,5.87K,-0.98
4-May-17,103.66,98.2,109,98,4.78K,5.56
3-May-17,98.2,99.22,100.86,94.23,4.98K,-1.03
2-May-17,99.22,97.55,103.6,95.15,4.59K,1.71
1-May-17,97.55,99.54,115.8,87.51,14.10K,-2
30-Apr-17,99.54,102.78,108,96,6.72K,-3.15
29-Apr-17,102.78,89.96,106,88.62,5.59K,14.25
28-Apr-17,89.96,83.72,92,83.26,4.09K,7.45
27-Apr-17,83.72,78.23,87.87,77.51,4.37K,7.02
26-Apr-17,78.23,74.3,81.54,74.3,6.19K,5.29
25-Apr-17,74.3,73.85,75,73.51,2.18K,0.61
24-Apr-17,73.85,73.1,74.75,72.7,1.95K,1.03
23-Apr-17,73.1,74.5,74.6,72.72,2.55K,-1.88
22-Apr-17,74.5,72.98,74.75,72,2.24K,2.08
21-Apr-17,72.98,71,74,69.85,5.35K,2.79
20-Apr-17,71,74,74,70,3.98K,-4.05
19-Apr-17,74,74.13,76,73.05,5.50K,-0.18
18-Apr-17,74.13,72.2,74.96,72.2,4.54K,2.67
17-Apr-17,72.2,72.93,73.67,70.8,2.47K,-1
16-Apr-17,72.93,74.49,75.8,71.25,3.99K,-2.09
15-Apr-17,74.49,73.45,79.49,70.2,9.05K,1.42
14-Apr-17,73.45,65.32,74.48,65.3,6.80K,12.45
13-Apr-17,65.32,63.25,65.81,62.3,5.85K,3.27
12-Apr-17,63.25,63.14,64.58,60.17,4.31K,0.17
11-Apr-17,63.14,66.33,67,62.6,2.39K,-4.81
10-Apr-17,66.33,63.25,72.1,63.25,8.27K,4.87
9-Apr-17,63.25,63.71,81,61,11.24K,-0.72
8-Apr-17,63.71,60.9,66.05,58.52,3.62K,4.61
7-Apr-17,60.9,58.7,62.5,56,2.96K,3.75
6-Apr-17,58.7,59.72,60.25,54.04,2.92K,-1.71
5-Apr-17,59.72,58.13,61.44,57.83,2.16K,2.74
4-Apr-17,58.13,59.8,60.25,57.52,2.25K,-2.79
3-Apr-17,59.8,60.5,64.3,59.17,3.48K,-1.16
2-Apr-17,60.5,61.65,62.4,59,3.50K,-1.87
1-Apr-17,61.65,62.42,64.7,61.05,1.86K,-1.23
31-Mar-17,62.42,62.13,63.7,60.02,2.31K,0.47
30-Mar-17,62.13,63.13,63.6,60.6,2.71K,-1.58
29-Mar-17,63.13,63.6,67.88,61.3,3.25K,-0.74
28-Mar-17,63.6,53.5,74.95,52.75,9.44K,18.88
27-Mar-17,53.5,58.62,61.7,52.75,3.37K,-8.73
26-Mar-17,58.62,63.18,65.5,58.45,3.52K,-7.22
25-Mar-17,63.18,65,66.35,62,6.06K,-2.8
24-Mar-17,65,66.13,73,63.9,7.30K,-1.71
23-Mar-17,66.13,68.07,68.77,65.21,1.62K,-2.85
22-Mar-17,68.07,65.8,71,63.8,3.90K,3.45
21-Mar-17,65.8,70.32,73.12,63,6.50K,-6.43
20-Mar-17,70.32,68.02,79,68.02,7.93K,3.38
19-Mar-17,68.02,64.1,80,57.07,16.56K,6.12
18-Mar-17,64.1,47.07,90.53,46.44,28.82K,36.18
17-Mar-17,47.07,48.19,52.6,45,6.73K,-2.32
16-Mar-17,48.19,45.7,49.36,44.55,4.18K,5.45
15-Mar-17,45.7,45.13,46.55,43.17,4.05K,1.26
14-Mar-17,45.13,47.47,48.34,43,3.50K,-4.93
13-Mar-17,47.47,39.85,49.22,39.8,7.89K,19.12
12-Mar-17,39.85,39.36,41,37.41,2.94K,1.24
11-Mar-17,39.36,34.44,39.9,34.44,2.93K,14.29
10-Mar-17,34.44,36.65,40.65,32.73,4.40K,-6.03
9-Mar-17,36.65,35.37,37.61,35,0.88K,3.62
